,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Sale Price,X Coordinate,Y Coordinate,Building Class Category,Address,Borough,Neighborhood
86,11040,0.6333333333333333,0.0,0.6333333333333333,2834.3,801.1,1950.3333333333333,1.3666666666666667,465700.0,-73.68186030878358,40.744320542695114,01 One Family Dwellings                    ,270-08 Union Turnpike,Queens,Floral Park
87,11101,1.0458715596330275,0.14220183486238533,1.238532110091743,1588.8990825688074,1020.348623853211,1981.0,2.1926605504587156,1186299.871559633,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,42-60 Crescent Street,Queens,Long Island City
88,11102,2.018181818181818,0.10909090909090909,2.1363636363636362,1184.2727272727273,1363.4727272727273,1967.1727272727273,1.8,986181.9727272728,-74.0060152,40.71272809999999,13 Condos - Elevator Apartments            ,25-13 27Th   Street,Queens,Astoria
89,11103,2.0927835051546393,0.20618556701030927,2.2989690721649483,2108.298969072165,2490.639175257732,1932.0721649484535,1.4639175257731958,1051184.092783505,-74.0060152,40.7127281,02 Two Family Dwellings                    ,30-80 42Nd Street,Queens,Astoria
90,11104,1.1367521367521367,0.08547008547008547,1.2222222222222223,932.1111111111111,1061.025641025641,1937.820512820513,1.7264957264957266,644734.3760683761,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,41-09 41St Street,Queens,Sunnyside
91,11105,1.417808219178082,0.14383561643835616,1.5684931506849316,1765.1575342465753,1667.2123287671234,1941.8835616438357,1.6095890410958904,1018548.5753424658,-74.0060152,40.7127281,02 Two Family Dwellings                    ,23-11 21St   Avenue,Queens,Astoria
92,11106,1.0309278350515463,0.09278350515463918,1.175257731958763,796.1340206185567,852.3041237113403,1965.6288659793815,1.9278350515463918,846134.0773195876,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,34-32 35Th   Street,Queens,Astoria
93,11109,0.23333333333333334,0.0,0.23333333333333334,0.0,0.0,1998.7666666666667,2.0,849433.3333333334,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,46-30 Center Boulevard,Queens,Long Island City
94,11201,0.7316798196166855,0.02142051860202931,0.8004509582863585,134.56031567080046,206.92220969560316,1954.228861330327,2.072153325817362,1524358.6290868095,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,265 State Street,Brooklyn,Brooklyn Heights
95,11203,1.763496143958869,0.14652956298200515,1.9125964010282777,2207.650385604113,2041.706940874036,1934.8457583547558,1.3290488431876606,568285.0642673522,-74.0060152,40.7127281,02 Two Family Dwellings                    ,651 New York Avenue,Brooklyn,Flatbush-East
